Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,Hanlan Robb Gas Plant,Alberta,Oil and gas extraction (except oil sands),Hanlan Robb Gas Plant,157104.9066,208.7008,471.5145,0.0,0.0,0.0,157785.1219
2023,Harmac Pacific Operations,British Columbia,Chemical Pulp Mills,Nanaimo Forest Products Ltd.,128714.2413,3610.6308,8505.758,129.5871,0.0,0.0,140960.2172
2023,Harmattan Gas Processing Plant,Alberta,Oil and gas extraction (except oil sands),Harmattan Gas Processing Plant,374957.0303,12446.23016,5998.11335,0.0,0.0,0.0,393401.3738
2023,Havelock Plant,New Brunswick,Lime Manufacturing,Graymont (NB) Inc.,49916.05,15.932,66.85155,0.0,0.0,0.0,49998.83355
2023,Hays Gas Plant 11-31-013-14 W4M,Alberta,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,34138.34486,1114.75364,299.47385,0.0,0.0,0.0,35552.57235
2023,Hendrickson Springs,Ontario,Spring (Heavy Gauge) Manufacturing,Hendrickson Springs,12588.955,8.008,58.83,0.0,0.0,0.0,12655.793
2023,Hibernia Platform,Newfoundland and Labrador,Oil and gas extraction (except oil sands),HMDC,486457.9149,8185.139396,2470.880935,0.0,0.0,0.0,497113.9352
2023,"Hinton Pulp, a division of West Fraser Mills Ltd.",Alberta,Chemical Pulp Mills,West Fraser Mills Ltd.,124461.752,27353.62031,3238.86445,0.0,0.0,0.0,155054.2367
2023,Holyrood Thermal Generating Station,Newfoundland and Labrador,Fossil-Fuel Electric Power Generation,NL Hydro,604841.16,177.8,3177.35,0.0,0.0,0.0,608196.31
2023,Howe Sound Pulp and Paper Mill,British Columbia,Chemical Pulp Mills,Howe Sound Pulp & Paper,94465.4328,952.4956,5807.0775,42.51,0.0,0.0,101267.5159
2023,Lloydminster Upgrader,Saskatchewan,Oil and gas extraction (except oil sands),Cenovus,1030643.051,46287.80072,3555.672745,0.0,0.0,0.0,1080486.525
2023,Entreprise Indorama PTA Montréal s.e.c.,Quebec,Other Basic Organic Chemical Manufacturing,Indorama Venture PTA Montreal l.p.,105536.935,147.1568,280.1845,0.0,0.0,0.0,105964.2763
2023,INVISTA (Canada) Company-Maitland Site,Ontario,Other Basic Organic Chemical Manufacturing,INVISTA (Canada) Company,83747.805,26.572,223.13,0.0,0.0,63.45,84060.957
2023,EVRAZ Inc NA Canada - Regina Facilities,Saskatchewan,Iron and Steel Mills and Ferro-Alloy Manufacturing,EVRAZ Inc NA Canada,213102.2748,82.246248,582.13822,0.0,0.0,0.0,213766.6593
2023,Iroquois Falls Generating Station,Ontario,Fossil-Fuel Electric Power Generation,Iroquois Falls Generating Station,1921.0226,12.912592,12.837395,0.0,0.0,0.0,1946.772587
2023,Joffre LAO Plant,Alberta,Petrochemical Manufacturing,INEOS Canada Partnership,130630.6766,89.7848,777.457,0.0,0.0,0.0,131497.9184
2023,Usine de Joliette,Quebec,Cement Manufacturing,CRH Canada Group Inc.,564602.25,61.32,556.5,11.9605,0.0,0.0,565232.0305
2023,Judy Creek Gas Conservation Plant,Alberta,Oil and gas extraction (except oil sands),Conifer Energy Inc.,46188.29357,4873.7416,402.54825,0.0,0.0,0.0,51464.58342
2023,Kamloops Mill (SFO),British Columbia,Chemical Pulp Mills,Kruger inc,77584.4398,1289.390284,5638.54545,0.0,0.0,0.0,84512.37553
2023,Karr 10-10-065-02 W6M,Alberta,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,65044.91704,5228.21852,3955.1462,0.0,0.0,0.0,74228.28176
2023,Kaybob Amalgamated Sour Gas Plant,Alberta,Oil and gas extraction (except oil sands),PGI Processing ULC,135172.9971,6349.000868,2214.827335,0.0,0.0,0.0,143736.8253
2023,Kaybob South #3 Gas Plant,Alberta,Oil and gas extraction (except oil sands),PGI Processing ULC,328025.3565,2106.413064,1576.574835,0.0,0.0,0.0,331708.3444
2023,Keele Valley Landfill,Ontario,Waste Treatment and Disposal,City of Toronto,57.938,572461.5708,11.395,0.0,0.0,0.0,572530.9038
2023,Keephills Thermal Electric Power Generating Plant,Alberta,Fossil-Fuel Electric Power Generation,TransAlta Corporation,2740001.44,1486.826572,3827.210295,0.0,0.0,0.0,2745315.477
2023,"TransCanada Pipeline, Ontario",Ontario,Pipeline Transportation of Natural Gas,TransCanada PipeLines Ltd.,1040787.15,178395.952,7096.435,0.0,0.0,0.0,1226279.537
2023,Kidd Metallurgical Site,Ontario,Copper-Zinc Ore Mining,Glencore,29019.0553,34.73428,278.75615,0.0,0.0,0.0,29332.54573
2023,Kirkland Lake Generating Station,Ontario,Fossil-Fuel Electric Power Generation,Northland Power Inc.,18776.946,136.108,130.38,0.0,0.0,0.0,19043.434
2023,"KRONOS Canada, Inc.",Quebec,All Other Basic Inorganic Chemical Manufacturing,"KRONOS Canada, Inc.",157086.5677,51.036664,462.76526,0.0,0.0,0.0,157600.3696
2023,Kruger Wayagamack,Quebec,Paper (except Newsprint) Mills,Kruger Wayagamack LP.,60965.7,732.7796,1914.095,0.0,0.0,0.0,63612.5746
